Post Title,Time Posted,Post Link,Image URL,Description,Classification,Quotes 1,Quotes 2,Quotes 3,Quotes 4,Quotes 5,Quotes 6,Quotes 7,Quotes 8,Quotes 9,Quotes 10,Quotes 11,Quotes 12,Quotes 13
VERA FILES FACT CHECK: Netizens fall for FAKE P7K ‘DSWD’ giveaway,2023-09-08T05:51:07+00:00,https://verafiles.org/articles/vera-files-fact-check-netizens-fall-for-fake-p7k-dswd-giveaway,https://verafiles.org/wp-content/uploads/2023/09/082923-FAKE-BBM-giveaway_WEB_TAG_F.jpg,"A graphic circulating on Facebook claimed that the DSWD will give out a P7,000-monthly allowance for all Filipinos as part of its “Pantawid Gutom Program.” This is fake. There is no such program.",FAKE,"“PANTAWID GUTOM PROGRAM. UCT/CASH CARD/NON POOR. 7K MONTHLY ALLOWANCE LAHAT MAKAKATANGGAP. MAGPALISTA NA NASA LINK ANG FORM (Unconditional cash transfer/cash card/non poor. P7,000 monthly allowance. Everybody will receive it. Register now with the form in the link.) ",,,,,,,,,,,,
VERA FILES FACT CHECK: Marcos did NOT retrieve $987B from Belgian bank,2023-09-07T16:37:23+00:00,https://verafiles.org/articles/vera-files-fact-check-marcos-did-not-retrieve-987b-from-belgian-bank,https://verafiles.org/wp-content/uploads/2023/09/082323-FAKE-BBM-Belgium-account_TAG_REV.jpg,A Facebook Reel is claiming that President Bongbong Marcos has recovered a bank account in Belgium that supposedly contains billions of dollars. This is fake.,FAKE,"“pilipinas mag handa na.. tayo na ang pinaka mayaman sa lahat. PBBM kinuha na ang marcos account sa beldium (sic) $987B(Philippines, get ready… We’re now the richest country ever. President Marcos has got the Marcos account in Belgium [worth] $987 billion).”",,,,,,,,,,,,
VERA FILES FACT CHECK: FAKE Chot Reyes quote dupes netizens,2023-09-07T07:42:53+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-chot-reyes-quote-dupes-netizens,https://verafiles.org/wp-content/uploads/2023/09/090423-FAKE-Chot-Reyes-quote_WEB_TAG_F.jpg,A fake quote card bearing GMA News’ logo erroneously claimed that former Gilas Pilipinas head coach Chot Reyes chastised Filipinos for being more upset with him than government officials who failed their campaign promises. ,FAKE,“Kung magalit kayo sa akin parang ako yung nangako ng 3-6 months at P20 per kilo ng bigas (You’re angry with me as if I’m the one who promised three to six months and P20 per kilo of rice).”,"“Fake news alert: I never said this!”Source: Chot Reyes (@coachot) Instagram post, Sept. 4, 2023","“The public is advised to beware of images that are manipulated and maliciously misrepresent original content by GMA Integrated News and GMA Sports,” the organization said. ",,,,,,,,,,
VERA FILES FACT CHECK: Impostor site posts FAKE ‘BDO bitcoin bank’ story,2023-08-24T10:50:28+00:00,https://verafiles.org/articles/vera-files-fact-check-impostor-site-posts-fake-bdo-bitcoin-bank-story,https://verafiles.org/wp-content/uploads/2023/08/081723-FAKE-BDO-bitcoin-bank_SHORTIE_TAG-REV.jpg,Another bogus site uploaded a fabricated report claiming that BDO launched a cryptocurrency platform where netizens can invest their money. This is a scam.,FAKE,"“With the opening of a new platform, BDO Unibank offers all residents of the Philippines an opportunity to earn extra money.”",,,,,,,,,,,,
VERA FILES FACT CHECK: Tulfo’s name used in FAKE P10k giveaway posts on FB ,2023-08-24T10:28:59+00:00,https://verafiles.org/articles/vera-files-fact-check-tulfos-name-used-in-fake-p10k-giveaway-posts-on-fb,https://verafiles.org/wp-content/uploads/2023/08/081523-FAKE-Tulfo-10k-scam_SHORTIE-FIL-REV1.jpg,"Thousands of netizens are interacting with eight Facebook posts claiming that Sen. Raffy Tulfo will give away P10,000 for house repairs through Palawan Pawnshop or GCash. ",FAKE,"“Sino ang walang pang pa ayus sa bahay jan mag message kayu sa akin dahil papadalhan ko kayo ng 10k GCASH OR PALAWAN bukas na bukas.” (Who doesn’t have money for house repairs? Send me a message because I will send you P10,000 via GCash or Palawan [Pawnshop] tomorrow.) ",,,,,,,,,,,,
VERA FILES FACT CHECK: Impostor ‘DSWD’ page posts FAKE registration for ‘free housing’ ,2023-08-22T10:13:58+00:00,https://verafiles.org/articles/vera-files-fact-check-impostor-dswd-page-posts-fake-registration-for-free-housing,https://verafiles.org/wp-content/uploads/2023/08/080923-FAKE-DSWD-free-housing_SHORTIE_TAG-REV2.jpg,A Facebook page pretending to be affiliated with the DSWD posted an announcement that the agency is giving away free housing to poor Filipinos and all they have to do is register through the page. This is fake. ,FAKE,“Libreng Pabahay 2023 TANDAAN: LIBRE AT WALANG BABAYARAN KAHIT PISO (Free Housing 2023 REMEMBER: FREE AND WITHOUT ANY PAYMENT NOT A SINGLE PESO).” ,"“Ang DSWD ay walang anomang programa na nagbibigay ng libreng pabahay para sa mga mahihirap. Ang Department of Human Settlements and Urban Development ang ahensya na may mandatong magpatupad ng mga pabahay program ng pamahalaan (The DSWD does not have any program that provides free housing for the poor. The Department of Human Settlements and Urban Development is the agency mandated to implement the administration’s housing programs),” a part of DSWD’s statement read.",,,,,,,,,,,
VERA FILES FACT CHECK: Bogus site resurfaces FAKE story endorsing a ‘bitcoin trading platform’ ,2023-08-15T19:32:31+00:00,https://verafiles.org/articles/vera-files-fact-check-bogus-site-resurfaces-fake-story-endorsing-a-bitcoin-trading-platform,https://verafiles.org/wp-content/uploads/2023/08/080423-FAKE-Bitcoin-scam-resurfaces_SHORTIE_TAG-REV.jpg,A website posing as The Manila Times uploaded an article on an alleged cryptocurrency automated trading program and claimed it was being promoted by former senator Manny Pacquiao. This is a scam.,FAKE,“SPECIAL REPORT: Manny Pacquiao’s Latest Investment Has Experts in Awe And Big Banks Terrified.”,,,,,,,,,,,,
VERA FILES FACT CHECK: NO new super typhoons in PH,2023-08-08T15:52:58+00:00,https://verafiles.org/articles/vera-files-fact-check-no-new-super-typhoons-in-ph,https://verafiles.org/wp-content/uploads/2023/08/080723-FAKE-2-supertyphoons_WEB_ENG_F.jpg,A verified YouTube channel uploaded a video claiming that two new super typhoons have entered the Philippines. This is fake.,FAKE,"“2 SUPER TYPHOON, NAKAPASOK NA SA BANSA! SOBRANG LAKAS (Two super typhoons have entered the country! So strong) | LATEST WEATHER UPDATE! AUGUST 7, 2023.” ",,,,,,,,,,,,
VERA FILES FACT CHECK: Heart supplement ad DECEPTIVELY uses Vergeire’s name ,2023-08-08T02:19:23+00:00,https://verafiles.org/articles/vera-files-fact-check-heart-supplement-ad-deceptively-uses-vergeires-name,https://verafiles.org/wp-content/uploads/2023/08/080423-FAKE-Vergeire-Heart-Keep_TAG.jpg,Several website articles are circulating on social media claiming that Health Undersecretary Maria Rosario Vergeire is endorsing a cure for numerous diseases. These are fake.,FAKE,"“Matapos ang cleaning ng blood vessels, finally naalis na ng matatanda ang high blood pressure at 9 pang supposedly na “incurable” na sakit! (After cleaning the blood vessels, elders finally got rid of high blood pressure and nine more supposedly incurable diseases!)”",,,,,,,,,,,,
VERA FILES FACT CHECK: ‘TIN card assistance’ ad on FB is FAKE ,2023-08-07T19:16:21+00:00,https://verafiles.org/articles/vera-files-fact-check-tin-card-assistance-ad-on-fb-is-fake,https://verafiles.org/wp-content/uploads/2023/08/080223-fake-tin-assistance-1.jpg,Netizens are still interacting with a six-week-old Facebook post offering to assist — for a fee — those obtaining their TIN cards.,FAKE,"“Walang time pumila, ayaw ma – hassle at mapagod sa pagkuha ng V A L I D  ID? Luma na ang yellow card at gusto ma palitan ng N E W GREEN WITH QR C O D E. UPGRADE NA!” (No time to fall in line? Don’t want to be hassled and tired to get a valid ID? The yellow [TIN] card is now old and you want to replace it with a new green one with a QR code. Update now!) ",,,,,,,,,,,,
VERA FILES FACT CHECK: Cardiologist Willie Ong’s fake ads warning ALTERED to promote barley grass,2023-07-27T13:47:00+00:00,https://verafiles.org/articles/vera-files-fact-check-cardiologist-willie-ongs-fake-ads-warning-altered-to-promote-barley-grass,https://verafiles.org/wp-content/uploads/2023/07/072623-fake-willie-ong-barley-grass_shortie.jpg,Multiple impostor pages on Facebook rehashed a warning of Dr. Willie Ong against fake products to fool people into buying an unregistered barley grass supplement. ,FAKE,"“Pasensya na sa mga Pinoy na pasyente na bumili ng FAKE Barley Grass Powder sa shopee | ang produkto ay HINDI ipinamamahagi sa pamamagitan ng mga e-commerce platform: Shopee, lazada, … sa totoong link na ito.” (Apologies to Filipino patients who bought FAKE Barley Grass Powder on Shopee | This product is NOT distributed through e-commerce platforms [like] Shopee, Lazada [but] through this legitimate link.) ",,,,,,,,,,,,
VERA FILES FACT CHECK: Geriatrician Gary Sy NOT promoting Glufarelin for diabetes,2023-07-19T09:38:20+00:00,https://verafiles.org/articles/vera-files-fact-check-geriatrician-gary-sy-not-promoting-glufarelin-for-diabetes,https://verafiles.org/wp-content/uploads/2023/07/071823-FAKE-Glufarelin-again_SHORTIE-FIL.jpg,"Netizens are still sharing a two-month-old fake ad claiming that geriatrician Gary Sy promoted Glufarelin, a milk supplement that allegedly cures diabetes. ",FAKE,“FAKE!!! HUWAG KAYONG BUMILI NG Glufarelin Milk!!! Baka malason kayo (Fake! Don’t buy Glufarelin milk! You might get poisoned)!”,,,,,,,,,,,,
VERA FILES FACT CHECK: FAKE video of Marcos criticizing Filipino voters appears on FB,2023-07-12T12:38:50+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-video-of-marcos-criticizing-filipino-voters-appears-on-fb,https://verafiles.org/wp-content/uploads/2023/07/071123-FAKE-Marcos-cheapfake-2_SHORTIE-FIL-REV1.jpg,A Facebook video supposedly showing Ferdinand Marcos Sr. questioning Filipinos who voted for actors into the Senate is gaining traction. This is a tampered version of a photo of the ousted leader. ,FAKE,"“Mga convicted, plunderer, ano’ng mangyayari sa atin? Eh kawawa kayo eh lalo kayong babagsak. Ano’ng gagawin ni Robin Padilla, ni Lito Lapid, ni Bong Revilla, ni Jinggoy Estrada. Aba, susmaryosep! Aba’y nasisiraan na yata ng ulo ang Pilipinas!“([They] are convicts and plunderers, what will happen to us? You are pitiful and you will fall even more. What will Robin Padilla, Lito Lapid, Bong Revilla, Jinggoy Estrada do?) (Let out an expression of frustration – The Philippines seems to have lost its mind!)",,,,,,,,,,,,
VERA FILES FACT CHECK: Impostor groups share FAKE online registration for DSWD’s food stamp program,2023-07-05T11:14:36+00:00,https://verafiles.org/articles/vera-files-fact-check-impostor-groups-share-fake-online-registration-for-dswds-food-stamp-program,https://verafiles.org/wp-content/uploads/2023/07/062223-FAKE-Food-stamp-registration_SHORTIE_TAG-REV.jpg,A number of Facebook groups are offering netizens “slots” in the DSWD's food stamp program. This so-called online registration is not authorized by the DSWD.,FAKE,“ALAMIN! Bagong Programa Ng DSWD 3K Per Month Ipamimigay Bukod Pa Sa 4PS PAANO MAGPALISTA? CLICK NIYO LANG ITONG LINK AT MAGPA REGISTER (FIND OUT! DSWD’s New Program 3K Per Month Will Be Given Apart From 4PS HOW TO REGISTER? JUST CLICK THIS LINK AND REGISTER).”,,,,,,,,,,,,
VERA FILES FACT CHECK: ‘PRC’ advisory on making LET ‘easier’ FAKE ,2023-06-28T00:08:55+00:00,https://verafiles.org/articles/vera-files-fact-check-prc-advisory-on-making-let-easier-fake,https://verafiles.org/wp-content/uploads/2023/06/062123-FAKE-LET2024-advisory_SHORTIE_TAG-REV.jpg,An impostor Facebook page posted an announcement supposedly from the Professional Regulation Commission saying the difficulty level of the next licensure exam for teachers will be reduced. This is fabricated. ,FAKE,"“We want to inform you about an important update regarding the upcoming September 2023 LET exam. Taking into consideration the feedback and ratings from the previous exam, we have made adjustments to ensure a more favorable experience for everyone. In response to the low ratings received, we have decided to make the next exam easier in comparison.” ",,,,,,,,,,,,
VERA FILES FACT CHECK: FB posts offering ‘TIN ID registration assistance’ are SCAMS,2023-06-22T12:07:17+00:00,https://verafiles.org/articles/vera-files-fact-check-fb-posts-offering-tin-id-registration-assistance-are-scams,https://verafiles.org/wp-content/uploads/2023/06/0612123-FAKE-TIN-ID-scam_TAG_REV.jpg,"With new college graduates entering the workforce, several FB posts offering assistance in acquiring a TIN card for a fee are also popping up. These are scams.",FAKE,“May existing # kana ba? At yellow parin ang T I N   I D mo. Mag-upgrade kana sa G R E E N   C A R D  with Q R  C O D E. NO RE QUIRE MENTS NEEDED.FREE DELIVERY and CASH ON DELIVERY narin po. L E G I T. Kami napo bahala magprocess. Issued directly sa B I R.(Do you already have a TIN? And you still have a yellow TIN ID? Upgrade to a green TIN card with a QR code. No requirements needed. Free delivery and it’s also cash on delivery. Legit. We’ll take care of the processing. Issued directly by the BIR.)”,,,,,,,,,,,,
VERA FILES FACT CHECK: Pasig nuns are NOT selling an anti-aging cream,2023-06-22T04:46:30+00:00,https://verafiles.org/articles/vera-files-fact-check-pasig-nuns-are-not-selling-an-anti-aging-cream,https://verafiles.org/wp-content/uploads/2023/06/062023-FAKE-Retinlift-Anti-Aging_SHORTIE-FIL-REV1.jpg,Three Facebook videos claim that nuns from a monastery in Pasig are making and selling an anti-aging cream. These are fake.,FAKE,“Uncover ang Hiwaga ng Kagandahan mula sa mga madre ng Monasteryo ng Santa Clara sa Pasig: Paano ang kanilang natatanging produkto ay tumutulong sa mga kababaihan na labanan ang pagtanda.” (Uncover the magic of beauty from the nuns of the Monastery of Sta. Clara in Pasig: How their unique product helps women to fight aging.) ,,,,,,,,,,,,
VERA FILES FACT CHECK: Jaime Fabregas DEATH HOAX used as product clickbait,2023-06-16T16:07:25+00:00,https://verafiles.org/articles/vera-files-fact-check-jaime-fabregas-death-hoax-used-as-product-clickbait,https://verafiles.org/wp-content/uploads/2023/06/061623-FAKE-Jaime-Fabregas-death-hoax_SHORTIE-FIL-REV1.jpg,Over 20 Facebook posts falsely claimed that actor Jaime Fabregas has died. The hoaxes carried links that redirect to an e-commerce site.,FAKE,"“Mga kababayan, ngayon po ay June 16, 2023. Ako po ay buhay na buhay at nakikita ninyo. Kaya huwag po maniwala diyan sa mga balita na ako po ay pumanaw na.”  (My countrymen, today is June 16, 2023. I am very much alive, and you can see me. So don’t believe the rumors saying that I passed away.)","“Doon po sa mga nag post, sana burahin niyo na. Lahat naman tayo ay mamamatay. Hantayin po nating mangyari (To those who made the post, please delete it already. All of us will die anyway. Let’s wait for it to happen).”",,,,,,,,,,,
"VERA FILES FACT CHECK: Netizens share FAKE DSWD P10,000 giveaway",2023-06-03T14:34:00+00:00,https://verafiles.org/articles/vera-files-fact-check-netizens-share-fake-dswd-p10000-giveaway,https://verafiles.org/wp-content/uploads/2023/06/060123-FAKE-DSWD-P10k-giveaway_SHORTIE-FIL.jpg,"Five Facebook posts by netizens falsely claimed that the Department of Social Welfare and Development (DSWD) is giving away P10,000.",FAKE,"“OPEN sa LAHAT 18-60 yrs old. First 100 na mag-HOW bibigyan TRY LANG WALA NAMANG MAWAWALA SAYO. 💙😊 #LegitSince2006 E pm MO Ako Asap 😇 PM ME PO” (Open to all 18 to 60-year-olds. [The] first 100 who [comment] HOW will win. Just try, you won’t lose anything. #LegitSince2006. Send me a PM [private message] ASAP, please PM me.)",,,,,,,,,,,,
VERA FILES FACT CHECK: Sara Duterte did NOT say there’s no need for quality education in public schools,2023-05-31T03:54:08+00:00,https://verafiles.org/articles/vera-files-fact-check-sara-dutete-did-not-say-theres-no-need-for-quality-education-in-public-schools,https://verafiles.org/wp-content/uploads/2023/05/052523-FAKE-Sara-on-quality-educ_SHORTIE-FIL.jpg,Netizens are sharing a fake statement attributed to Vice President Sara Duterte-Carpio where she allegedly said DepEd learners need only basic — and not quality — education.,FAKE,"“Our learners in DepEd do not exactly need quality education, they only need basic education. Most of them will go in [sic] abroad and become Domestic Helpers, Nurses or Construction workers. Besides, DepEd does not have the budget to provide the same quality education as being provided by private schools.” ",,,,,,,,,,,,
VERA FILES FACT CHECK: CNN Philippines interview clips SPLICED to promote an energy-saving device,2023-05-25T04:56:54+00:00,https://verafiles.org/articles/vera-files-fact-check-cnn-philippines-interview-clips-spliced-to-promote-an-energy-saving-device,https://verafiles.org/wp-content/uploads/2023/05/052323-FAKE-DOE-energy-saver_SHORTIE_TAG-REV.jpg,A video advertisement for a device that allegedly reduces energy consumption contains altered clips from a five-month-old CNN Philippines interview with a Department of Energy official. The DOE is not endorsing Sonic Energy Saver.,FAKE,“SMART ENERGY POWER SAVING DEVICE NAPATUNAYANG EPEKTIBO AYON SA DOE (SMART ENERGY POWER SAVING DEVICE PROVEN TO BE EFFECTIVE ACCORDING TO DOE).”  ,,,,,,,,,,,,
VERA FILES FACT CHECK: Sara Duterte did NOT tell teachers to ‘shut up’ over DepEd laptop issue,2023-05-18T08:01:55+00:00,https://verafiles.org/articles/vera-files-fact-check-sara-duterte-did-not-tell-teachers-to-shut-up-over-deped-laptop-issue,https://verafiles.org/wp-content/uploads/2023/05/051723-FAKE-Sara-on-laptops_SHORTIE_TAG-REV.jpg,Netizens are circulating a fake quote card of Vice President Sara Duterte-Carpio allegedly telling teachers to hold back their criticism over slow and outdated laptops allegedly purchased by DepEd.,FAKE,"“DepEd teachers who find their issued laptop to be slow or not in accordance with the latest specifications should return it and buy their own laptop. If they can not be thankful, the least that they can do is SHUT UP.”",,,,,,,,,,,,
VERA FILES FACT CHECK: Impostor DSWD page posts FAKE ‘ayuda’ for registered SIM card users ,2023-05-11T07:27:19+00:00,https://verafiles.org/articles/vera-files-fact-check-impostor-dswd-page-posts-fake-ayuda-for-registered-sim-card-users,https://verafiles.org/wp-content/uploads/2023/05/050523-FAKE-SIM-registration-ayuda_SHORTIE_TAG-DRAFT.jpg,"A Facebook page posing as the DSWD uploaded posts claiming the agency is giving away “P5,000” ayuda to those who have registered their SIM cards. This is fake.",FAKE,"“ATTENTION. Tinatawagan ang lahat ng mga naka REGISTER na ng SIM CARD, kunin nyo na ang 5k Ayuda MAG FILL UP SA LINK PARA MAIPADALA NA (Calling everyone who already REGISTERED their SIM CARD, get your 5k Cash assistance FILL OUT IN THE LINK FOR IT TO BE DELIVERED).” ",,,,,,,,,,,,
VERA FILES FACT CHECK: FAKE photo used to claim that PH Navy fired at Chinese ships,2023-05-10T05:41:55+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-photo-used-to-claim-that-ph-navy-fired-at-chinese-ships,https://verafiles.org/wp-content/uploads/2023/05/050523-FAKE-PH-navy-fired_TAG_REV.jpg,A Facebook video used an altered photo to claim that the Philippine Navy recently fired at Chinese vessels illegally fishing on the West Philippine Sea. No such incident took place.,FAKE,“Ganyan dapat! Pilipinas rumesbak at pinaputukan umano ang mga Chinese fishing vessel sa WPS. (That’s how it should be! Philippines retaliated and fired at Chinese fishing vessels on the West Philippine Sea.)”,,,,,,,,,,,,
VERA FILES FACT CHECK: Ad for weight loss product by ‘genius Filipina student’ is FAKE,2023-05-05T15:20:55+00:00,https://verafiles.org/articles/vera-files-fact-check-ad-for-weight-loss-product-by-genius-filipina-student-is-fake,https://verafiles.org/wp-content/uploads/2023/05/050323-FAKE-Genius-student-ad_SHORTIE_TAG-REV.jpg,A website claims that an award-winning Filipina student discovered a formula that helps people instantly lose weight. This is yet another fake advertisement using made-up names and altered images to sell an unregistered product.,FAKE,“Genius student from Manila wanted for justice because of the creation of a fat burner that helps you lose 27 kilograms in 30 days!”,,,,,,,,,,,,
"VERA FILES FACT CHECK: Doc Willie Ong NOT selling pesticide, ALTERED photos used",2023-05-05T04:24:28+00:00,https://verafiles.org/articles/vera-files-fact-check-doc-willie-ong-not-selling-pesticide-altered-photos-used,https://verafiles.org/wp-content/uploads/2023/05/050323-FAKE-Bestkill-Doc-Willie_TAG_REV.jpg,"Scammers are again using the identity of cardiologist Dr. Willie Ong to fraudulently promote unlicensed products, this time for ""Bestkill"" pesticide. ",FAKE,"“[T]he Japanese Institute of Biological Research has introduced [a product] to kill insects, bugs, yellow flies, red spiders, snails to protect plants completely with natural herbs.”",,,,,,,,,,,,
