RATING,CONCAT QUOTES
14,FALSE,"The Niu’e Jiao is part of China’s Nansha Islands (internationally known as the Spratly Island Group). The waters around Niu’e Jiao has been a traditional fishing ground for Chinese fishermen for many years. Source: Chinese Embassy in Manila, Statement by Spokesperson of the Chinese Embassy (Archived), April 5, 2021         "
15,FALSE,"BONG GO BINULGAR NA KURAP SI DRILON, NAGKAINITAN PA SA SENADO (Bong Go reveals that Drilon is corrupt, even had a heated encounter in Senate)! IKAW ANG KURAP! ANONG NANGYARI SA ILO-ILO(It is you who is corrupt! What happened in Iloilo)!,        "
16,FALSE,TOTOO KAYA ANG HULA NI NOSTRADAMUS? (Is Nostradamus’ prophecy true?) #2023 #PREDICTION.         
17,FALSE,Good Job! Pilipinas harap-harapan umanong binomba ng water cannon ang isang Chinese vessel sa WPS (The Philippines allegedly directly bombed with water cannon a Chinese vessel in the WPS).         
18,FALSE,"Paalam Celine Dion | Manatiling alaala Ang mga awitin mo Pahinga ka na (Goodbye Celine Dion | Your songs will be remembered, rest now),         "
19,FALSE,Grabe nangyari sa turkey nito lang feb 6. 2023. Pag pray po nating sila at lagi din po tayo maging handa at mag iingat (What happened in Turkey this Feb. 6 2023 is severe. Let’s pray for them and let’s always be prepared and keep safe).         
20,FALSE,kidnapped presumably for organ harvesting.         
21,FALSE,"KAKAPASOK LANG LAHAT NAGULAT! SAWAKAS NAHU-Ll nasi GUANZON HlNATULAN ng K0RTE MABUBUL0K sa KULU NGAN (sic) (Just in, everyone was shocked! Finally Guanzon was caught, judged by the court will rot in jail!)         "
22,FALSE,I would prefer to fail with honor than win by cheating.         
23,FALSE,HARVARD DISSAPOINTED (sic) KAY LENI! INISCAM ANG MGA STUDENT SA KANYANG FREE LECTURE (Harvard is disappointed with Leni! Scammed students with her free lecture)! HARVARD ITINAKWIL SI LENI (Harvard disowned Leni)!LENI NILOKO ANG MGA STUDYANTE SA HARVARD (Leni deceived Harvard students)!; andHARVARD STUDENTS GALIT AT NA SCAM NI LENI (Harvard students mad for being scammed by Leni)!        
24,FALSE,"KAKAPASOK LANG (Just in): BREAKING! GOODNEWS PRES DUTERTE PAPALITAN ANG PANGALAN NG NAIA AIRPORT AQUINO IYAK (to replace the name of NAIA Airport, Aquino cries).         "
25,FALSE,"Tapos na ang laban ni Robredo ibinunyag na ang totoong nanalo Cheating gets you nowhere Leni (Fight’s over for Robredo, the true winner is revealed ‘Cheating gets you nowhere Leni’) Game over for Robredo: Cheating gets you nowhere Leni        "
26,FALSE,Natanggap ng Pilipinas ang pinakamapanganib na barkong pandigma sa buong mundo mula sa British Navy (The Philippines received the most dangerous warship in the world from the British Navy).         
27,FALSE,"China nagdeklara na! China pinalusob mga barka, lahat umalarma! (China has declared [war]! China sent ships, alarming all!)         "
28,FALSE,Nauna pa mga tarpaulin kesa sa rehabilitation mg Marawi (sic) (Tarpaulins prioritized over Marawi’s rehabilitation).         
29,FALSE,Binawi ang Sabah. Ito ang pinaka-antay ng lahat. Tinapos nani (sic) PBBM (Reclaimed Sabah. This is what everyone is waiting for. PBBM finished it). SAWAKAS! PRES MARCOS GINIMBAL ang MALAYSIA BABAWIIN ang SABAH? PBBM at HARI ng MALAYSIA NAG-USAP NA (FINALLY! PRES MARCOS SHOCKED MALAYSIA WILL RECLAIM SABAH? PBBM AND KING OF MALAYSIA ALREADY TALKED)!        
30,FALSE,"Good Job Marcos/Duterte #uniteam #pbbm #VPSARA #bongbongmarcos2022 #socvillegas #CPPNPA #GOODJOB #pandaytv02 #goodvibes #PRRD #DDS #salamat #UPDILIMAN #CLOSED #teamwork #kakampink. Kung hindi niyo kinalaban ang gobyerno nang ilang taon after Marcos, ngayon, sana hindi kayo napasara ‘di ba? Sana nga magtuloy-tuloy na ‘yan at nang matahimik na kayo sa kalsada. Andami niyong alam kasi. Pinapag-aral kayo ng gobyerno. Pera ng taong bayan ‘yan, tapos kinakalaban niyo ‘yung nagpaaral sa inyo? (If you did not fight the government for many years after Marcos, then maybe you won’t be closed down today right? I hope this continues so that you will be quiet on the street. You guys are know-it-alls. The government is funding your studies. That’s the people’s money, then you fight against those who support your education?)        "
31,FALSE,"Over 25,000 killed they have started shooting down all the people with the virus in China ( video shared by a reliable source in China ) – forwarded. Happening in China, for real?        "
32,FALSE,"Grabe Malaking gulo ito! General Bantag hinarang sa airport at pinapaamin na! Dating Pangulong Rodrigo Duterte nagulat sa itinuturo na isa pang MASTERMIND! (Wow, this is a big mess! General Bantag blocked at an airport and asked to confess now! Former President Rodrigo Duterte shocked over the other tagged mastermind!)         "
33,FALSE,"KAKAPASOK LANG GRABE! PBBM at VPSARA NILUSOB ang DEPED, K-12 PROGRAM ni PNOY OFFICIAL ng TINANGGAL (JUST IN EXTREME! PBBM and VPSARA BARGED into DEPED, PNOY’S K-12 PROGRAM OFFICIALLY REMOVED)?! SAWAKAS! TANGGAL NA K-12 PROGRAM BIGLAANG UTOS NG PALASYO (FINALLY! NOW REMOVED K-12 PROGRAM. SUDDEN ORDER FROM THE PALACE) CONFIRMED! GOODBYE K-12!.        "
34,FALSE,"Kapag nakagat, patay (If you get bitten, you die)?         "
35,FALSE,"MATINDI TO SEN RAFFY TULFO NAMUTLA DI NAKA LIGTAS sa MATNDING UT0S ni PRES MARCOS TANGALIN sa PWEST0 (This is serious! Sen. Raffy Tulfo went pale, not safe from the drastic order of President Marcos, removed from his position) PINATAL-SIK (sic) SA SENADO. ITO ANG BANGUNGOT SA BUHAY NI SEN TULFO (Expelled from the Senate, this is a nightmare in Sen. Tulfo’s life)       "
36,FALSE,"SAMANTALA… ITO ANG KAGANAPAN SA SAN JOSE CITY, NUEVA ECIJA KANINA NA HINDI LUMABAS SA MGA BIAS (sic) TV STATIONS AT ONLINE NEWS (as usual). (Meanwhile… This is the event in San Jose City, Nueva Ecija earlier that did not appear on biased TV stations and online news (as usual).) Source: Erwin Tulfo official Facebook page, SAMANTALA…, Dec. 5, 2021         "
37,FALSE,"Those rates didn’t come from us,         "
38,FALSE,Magaling! Pilipinas ginamitan umano ng water cannon ang mga pasaway na Chinese vessel sa WPS (Well done! The Philippines allegedly used a water cannon against stubborn Chinese vessels in WPS). more than 10 Chinese fishing vessels around Ayungin Shoal immediately left        
39,FALSE,"Mga Laser Weapon Bansang Israel, Pinag Uusapan Ngayon Upang Maipapadala sa Ukraine         "
40,FALSE,"DSWD TINANGGIHAN ANG ALOK NI LENI ROBREDO! LENI SUPALPAL AT PAHIYA PA ANG INABOT KAY ERWIN TULFO (DSWD rejected Leni Robredo’s offer! Leni ended up getting rebuked and humiliated by Erwin Tulfo), Tinanggap naman ho natin… dahil ito naman po ay voluntary at libre naman ho itong mga impormasyon na ito (We accepted it… because it is voluntary and the information was provided for free).        "
41,FALSE,A New Horizon: Pagkuha ng Philippine Navy ng HMS Westminster F237 at HMS Argyll F231 (The Philippine Navy’s receipt of HMS Westminster F237 and HMS Argyll).         
42,FALSE,GUINNESS WORLD RECORD LONGEST MOTORCADE BBM.         
43,FALSE,"Goddamn Phivocvoc (punning the name of the agency with the Filipino word ‘bukbok’ or weevil)! There was no warning about the eruption of Taal Volcano! If I were to have my way, I would have all the Phivocs (sic) people executed! Source: Ramon Tulfo official Twitter account, Goddamn Phivocvoc, Jan. 12, 2020 DOST (Department of Science and Technology)-PHIVOLCS is now raising the alert status of Taal from Alert Level 0 to Alert Level 1. This means that the volcano is at an abnormal condition. The public is reminded that the Main Crater should be strictly off-limits because sudden steam explosions can occur and high concentrations of lethal volcanic gases can be released. Source: Phivolcs.dost.gov.ph, This serves as notice for the raising of the alert status of Taal from Alert Level 0 (normal) to Alert Level 1 (abnormal), March 28, 2019        "
44,FALSE,"KAKAPASOK LANG FINISH NA! (JUST IN, IT IS FINISHED!) PRES MARCOS BINIGYAN ng POSISYON CONG MARCOLETA DOE (PRES. MARCOS GAVE CONG. MARCOLETA THE DOE POSITION) GOODBYE DlLAWAN NA! (GOODBYE YELLOWS!) JUST NOW: BIGLAANG UTOS (SUDDEN ORDER) PRES BBM VPSARA BINIGYAN ng POSISYON CONG MARCOLETA DOE (PRES. BBM VP SARA GAVE CONG. MARCOLETA THE DOE POSITION) GOODBYE DlLAWAN NA (GOODBYE YELLOWS!)        "
45,FALSE,the virus is already at Boracay Island         
46,FALSE,Fishermen claim they were duped into signing ‘kalikasan’ petition Fishermen: Diokno were fooled us into signing ‘kalikasan’ petition.        
47,FALSE,"On the ID system.. In the CPP’s CASER (Compre[hensive] Agreem[e]nt on Soc[ial and] Eco[nomic] Ref[orms]) agenda, the ID system is one of those they made sure will never be imposed. Violation of privacy daw (allegedly). In truth they didn[‘t] want those with No Permanent Address to be identified. Came Marawi Siege, we didn[‘t] have any ID to rely on. Now with COVID we still can[‘t] contact trace our people for OUR safety. That’s how the liberal mind works. To this day we can[‘t] count our people living in slums. No ID for proper distribution of SAP, none for vaccine allocation and programming, none for quarantine control. Then these dilawans (Yellows) blame gov[‘]t for inadequate response to this pandemic. But come election they will all find this situation of us still not having IDs useful. Hypocrites. Source: Antonio Parlade Jr. Official Facebook Account, On the ID system…, April 4, 2021        "
48,FALSE,"YES! UNANG BATAS ni IMEE MARCOS bilang SENADOR, APPROVE NA (Yes! Imee Marcos’ first law now approved)!         "
49,FALSE,VIRAL NGAYON: SPEAKER ROMUALDEZ NAMA-ALAM nasa kongreso SUSPENDED na/ DU30 PBBM EBIDENSYA TINURO na (VIRAL NOW: SPEAKER ROMUALDEZ HAS LEFT congress NOW SUSPENDED/ DU30 PBBM EVIDENCE SHOWN.         
50,FALSE,PILIPINAS WOW PAPALITAN NA? (Philippines wow. Will be it be changed?)         
51,FALSE,"BREAKING NEWS TODAY JANUARY 22, 2021 PRES DUTERTE MAY BAGONG UTOS SMARTMATIC TATANGGALIN (Pres. Duterte has a new order, Junk Smartmatic).         "
52,FALSE,"Wooow may shares pala ang mga marcos sa GMA. 30 YEARS NA NKLIPAS ILAN KYA ANG TUBO NOON [sic] (Wow, the Marcoses have shares in GMA. It’s been 30 years, how much could it have earned). Those Duavit shares were acquired by them (Duavits) as early as September 1974 or thirty-three years now. They have been in possession of those shares for that long period of time,        "
53,FALSE,"Bigas 25 pesos kada kilo mabibili na nation wide, at mga gulay, asukal atb. (25-peso rice can now be bought nationwide, and vegetables, sugar, etc.).         "
54,FALSE,to all the ladies you care for.         
55,FALSE,"Nakakabaliw na pangyayari, isang kahindik-hindik na insidente ang nangyari sa harap ng SM MegaMall, libu-libong tao ang pumila sa gulo na nagdulot ng traffic, may mga nahimatay pa at kinailangan pang ma-ospital.         "
56,FALSE,NAKAKAGUKAT: [sic] DATA BASE ng COMELEC NA HACKED NA| Mga PLANONG PANDARAYA Kay BONGBONG MARCOS BISTADO!! (Shocking: Comelec database hacked/Plans to commit voter fraud against Bongbong Marcos revealed!)         
57,FALSE,"Pandaigdigang Paliparan ng Pilipinas (Philippine International Airport).The latest false video was posted by YouTube channel BANAT NEWS TV on Aug. 3 with the title, JUST IN : FINALLY! APRUBADO na (now approved)! PRES DUTERTE RENAME ng (of) NAIA to MIA PALITAN na (change it now)! TULFO YAP GOODNEWS!         "
58,FALSE,"JUST ARRIVED!!! 12 UNITS OF HIMARS MULTIPLE-LAUNCH ROCKET SYSTEM FOR THE PHILIPPINE ARMY. Darating po ‘yung ating mga makabagong mga kagamitan (Our modern equipment will arrive)… we will have anti-ship missiles, we will have air defense artillery weapons, we will have HIMARS coming in the next years.        "
59,FALSE,"We stand by the Degree confirmation which was issued by the University of Oxford. It is up to anyone to question or challenge this with the said university if they so please. Source: ABS-CBN News, Presidential aspirant Bongbong Marcos’ camp…, Oct. 23, 2021; Inquirer.net official Twitter account, JUST IN: Bongbong Marcos’ camp responds to the statement of Oxford Philippines Society…, Oct. 23, 2021; Rappler, Oxford: Bongbong Marcos’ special diploma ‘not a full graduate diploma’, Oct. 27, 2021 Presidential aspirant Bongbong Marcos has always been forthright on his conferment of a special diploma in social studies by the distinguish (sic) university and has never misrepresented his Oxford education. Source: Jacque Manabat, ABS-CBN reporter official Twitter account, Presidential aspirant Bongbong Marcos’ camp… , Oct. 23, 2021; Inquirer.net official Twitter account, JUST IN: Bongbong Marcos’ camp responds to the statement of Oxford Philippines Society…, Oct. 23, 2021; Rappler, Oxford: Bongbong Marcos’ special diploma ‘not a full graduate diploma’, Oct. 27, 2021        "
60,FALSE,LIBO-LIBONG REBULTO SA INDIA WINASAK AT TINAPON DAHIL WALA UMANONG NAGAWA PARA DINGGIN ANG KANILANG MGA PANALANGIN (Thousands of statues in India were wrecked and thrown away because people’s prayers allegedly went unheeded).         
61,FALSE,Vaxxed cooking teacher drops dead live on stream graphic warning.         
62,FALSE,"Katong mga dato, mga Liberal niadto, mga… You know, the big — kamo nahibaw mo’g kinsa — they were funded by the oligarchs. So tan-awa og unsa’y nahitabo. Ang tubig gihatag sa Ayala… (The rich people, the Liberal went there, the… You know, the big — you know who they are — they were funded by the oligarchs. Now look at what happened. They gave the water to the Ayala….) Mao na abusado kaayo ang ABS-CBN. Wala’y bayad-bayad og taxes unya mao pa’y isog. And they continue really to utilize and ‘yung ano… ‘yung mga partido hantod karon. Mao lang ni siya gihapon. (That is why ABS-CBN is so abusive. They don’t pay taxes, yet they are the ones who are aggressive. And they continue to really utilize the… the political parties even until today. It’s still the same.) Source: RTVMalacanang, PDP-Laban Oath-Taking of New Members and Proclamation of Local Candidates (Speech) 10/16/2021, Oct. 16, 2021, watch from 10:33 to 11:19 (transcript)        "
63,FALSE,"In fact, even sa U.S., siya ay na-censure na at siya ay dineklara na persona non grata na siya ay gumagawa lamang ng mga kuwento diyan sa mga human rights … violations na iyan (in the U.S., she was censured and declared persona non grata, and making up human rights violations cases). Source: Atty Larry Gadon official Facebook page, PERA , SALAPI , KWARTA !... (Archived), June 18, 2021, from 01:58 to 02:13         "
64,FALSE,"Nepal plane crash, 11:00am, 15th January 2023. Yeti Airlines’ 9N-ANC         "
65,FALSE,Hantavirus – New Virus in China from Rats.         
66,FALSE,Ang Unang Nuclear ng Pilipinas Dumating Na! Sandatahang Lakas ng Pilipinas Papantay na sa China (The first nuclear (submarine) of the Philippines has arrived! The Philippines’ Armed Forces will now be on par with China).         
67,FALSE,"Halimbawa, si Justice Carpio. Maraming hindi nakakaalam … nung 2019 ay gumawa ‘yan ng communication, isinubmit niya sa International Court of … Justice. […] [I]sinumbong niya ang China, si President Xi Jinping na gumawa ng krimen against humanity sapagkat ang teritoryo daw ay na-violate sa South China Sea.  (For example, Justice Carpio. Many people do not know … that in 2019, he made a communication and submitted it to the International Court of … Justice. He complained about China — [he said] President Xi Jinping committed a crime against humanity because [our] territory in the South China Sea was supposedly violated.) Source: AnaKalusugan Partylist Cong. Mike Defensor Official Facebook Page, Point Of Order | August 07, 2021, Aug. 7, 2021, watch from 35:19 to 36:51 [P]inipilit nila (opposition) na ipamukha sa ating pangulo na hindi niya nae-execute ang ipinanalo natin sa arbitral award samantalang hindi nila sinasabi na wala tayong ipinanalo … Wala tayong award na nakuha, walang remedyong nakuha kung ang pag-uusapan ay ang pagbabawal sa Tsina sa mga aktibidad na ginagawa niya sa South China Sea. (They insist that the president is not executing our victory from the arbitral award, but they are not saying that we did not win anything … We did not receive any award, we did not get any remedy if we’re going to talk about prohibiting China’s activities in the South China Sea.) Source: watch from 38:14 to 38:45        "
68,FALSE,"GOODNEWS! MATlNDlNG UTOS DEPED K 12 ni PNOY BUBUWAGIN PIRMADO NA (SEVERE ORDER PNOY’S DEPED K 12 WILL BE ABOLISHED ALREADY SIGNED)! TAGUMPAY NA! BIGLAAN UTOS NI VPSARA DUTERTE PAHIRAP NA K-12 TINUL DOKAN NA SAWAKAS (SUCCESS! SUDDEN ORDER OF VP SARA DUTERTE, BURDENSOME K-12 ALREADY ENDED FINALLY)!        "
69,FALSE,NAKU PO NAGKAGULO NA SA SINGAPORE PBBM NAKUHA NA ANG MARCOS ACCOUNT? (Oh my it was mayhem in Singapore. President Bongbong Marcos had retrieved the Marcos account?)         
70,FALSE,BLOGGER NA INUTUSAN NI TRILLANES PARA SIRAAN SI PRRD NAHULI NG MGA PULIS | TRILLANES DESPERADO (Blogger tasked by Trillanes to defame [Duterte] caught by the police | Trillanes desperate). Trillanes nagbayad ng milyon sa mga blogger (Trillanes paid a million to bloggers).        
71,FALSE,Domestic helper in Korea Approved Na (Now Approved) 83-84k a month! No agency po..direct sa POEA (direct to POEA)! Ano pa iniintay nio apply na (What are you waiting for apply now).         
72,FALSE,"As of Today Sept. 21 ito na po ang itsura ng bulkan keep safe po sa mga malalapit na area (As of today, Sept. 21, this is what the volcano looks like. To those who are near the area, keep safe), read the caption of a video uploaded that day by a TikTok user.         "
73,FALSE,MATINDING PARUSA KAY ANGEL LOCSIN POSSIBLY HARAPIN DAHIL LAHAT DUMALO SA RALLY NIYA NAGKA CO-VID (Angel Locsin faces possible serious punishment as those who joined her rally got infected by COVID-19)?         
74,FALSE,"Mao na sa dagan sa panahon, medyo ang taong nakasabot nga ang PDP pro-poor gyud na fundamentally. Ang nidato si … ang dato lang sa PDP si Romualdo kay nimata siguro siya niadtong unang panahon … it’s an island, Camiguin eh. Pero ang ako pung balita na kanang lanzones gud ang nagdaan ng liso nga original si Romualdo. (As time went by, the people began to understand that PDP is really fundamentally pro-poor. The only one who became rich … the only rich person in PDP is Romualdo because he may have been one of the early birds … it’s an island, Camiguin. I heard that Romualdo was the one who first brought the original lanzones seed there.) Source: RTVMalacanang, PDP-Laban Oath-Taking of New Members and Proclamation of Local Candidates (Speech) 10/16/2021, Oct. 16, 2021, watch from 15:03 to 15:50 (transcript)         "
75,FALSE,BAGONG TINIK NG CHINA! Powerful Laser IKAKABIT Sa Mga BARKO Ng Pilipinas (China’s new thorn: Powerful laser to be installed on Philippine ships)!         
76,FALSE,"Ang aksyon ng maraming tao lalo na ang mga kabataan ay ang pagliligo sa gabi. Mataas na rate ito ng stroke. Ito [ay] dahil sa biglang pagbabago sa presyon ng ating dugo (Many people, especially the youth, take a shower at night. This [leads to] a higher rate of stroke. This [is] because of a sudden change in blood pressure.)         "
77,FALSE,PANOORIN! PINAKA MA INIT NA BALITA: ANDRES BAUTISTA IPINAAARESTO NA NG SENADO DAHIL SA KABALUKTOTAN NITO SA SERBISYO (Watch! Breaking News: Senate having Andres Bautista arrested for corrupt service)!         
78,FALSE,"Mindanao does not suffer any serious calamities. Typhoons would be the number one enemy of agriculture. Wala po diyan (There are none there). Source: Speech of President Rodrigo Duterte, Tagaytay City, Jan. 3, 2019, watch from 1:34 to 1:48 Tropical Storm Vinta (international name Tembin) in December 2017 which devastated Lanao del Norte, Lanao del Sur and Zamboanga Sibugay, and killed at least 173 people, affected some 797,000 and destroyed over 4,000 houses; Typhoon Pablo (international name Bopha) in December 2012 which made landfall in Davao Oriental and killed at least 1,268 people, affected some 973,000 and caused P36 billion damage to infrastructure, agriculture and private properties; and Tropical Storm Sendong (international name Washi) in December 2011 which caused flooding in Cagayan de Oro and Iligan City, and killed at least 1,901 people, affected some 698,000 and caused P2 billion damage to infrastructure, agriculture and private properties. Sources: UNOCHA, National Disaster Risk Reduction and Management Council        "
79,FALSE,"Sa kauna-unahang pagkakataon sa kasaysayan ng Pilipinas, inutusan ng Pangulong Bongbong Marcos ang Navy at Coast Guard na palibutan ang mga barko ng China sa Recto Bank. (For the first time in Philippine history, President Bongbong Marcos ordered the Navy and Coast Guard to surround Chinese ships at Recto Bank.) Source: YouTube channel Terong Explained, WALANG KAWALA! PH Navy At PH Coast Guard PALILIBUTAN Ang NAGTITIPON Na Barko Ng China (timecode: 00:43 to 00:53), July 10, 2023.         "
80,FALSE,PUTIN INATAKE! Sasakyan Ni Putin TINAMBANGAN Habang Siya Ay Papauwi! (Putin attacked! Putin’s car ambushed while he was on his way home!) Russian President Vladimir Putin nanganganib ang buhay ngayon! Limousine tinambangan habang siya ay papauwi! (Russian President Vladimir Putin is currently in serious danger! Limousine ambushed while heading home!)        
81,FALSE,CONG.SANDRO PINAHIYA ANG MEDIA SA PANGUNGULIT TUNGKOL SA SONA NI PBBM (Cong. Sandro humiliated the media who are bothering him about the SONA of PBBM)!         
82,FALSE,"Confirmed! President Duterte removed K-12. can only be repealed by a similar act of Congress,        "
83,FALSE,"Anyone that can kill Donald Trump gets $80m as reward from Iran Government, donate one U.S. dollar each        "
84,FALSE,"WALANG MADRENG NAGMAMAHJONG (No nun playing mahjong)? MAID IN MALACAÑANG MADE IN KATOTOHANAN (Made in truth) In this 1988 Magazine (from Page 19), Mababanggit po ang pangalan ng pinakamalapit na Madre kay President Cory, her name was SISTER CHRISTINE TAN, mababanggit din po dito na siya ay nagmamahjongg (it was mentioned that the nun closest to President Cory, her name was SISTER CHRISTINE TAN, it was also mentioned here that she plays mahjong).        "
85,FALSE,even the smallest version of RFID chips are rather large that none would ever fit into a vaccine needle.         
86,FALSE,"CANADA is now COVID FREE, I hope PHILIPPINES too.         "
87,FALSE,1986 nung simulang palitan ang mga aklat. Kaya hanggang ngayon yung maling akala at pabor sa mga Aquino lang nababasa ng mga kabataan (It was in 1986 when books were [revised]. So up to now the youth only read about wrong perceptions [against the Marcoses] and those that favor the Aquinos).         
88,FALSE,"…shall be dismissed from the public service and perpetually disqualified from holding any public office, to vote and to participate in any election. Source: Bureau of Internal Revenue, National Internal Revenue Code (Sec. 253c), Accessed Nov. 9, 2021 [Moral turpitude is] an act of baseness, vileness, or depravity in the private duties which a man owes his fellow men, or to society in general, contrary to the accepted and customary rule of right and duty between man and woman, or conduct contrary to justice, honesty, modesty, or good morals. Source: Chan Robles Virtual Law Library, Supreme Court of the Philippines (Tak Ng vs. Republic of the Philippines), Dec. 23, 1959; The Lawphil Project, G.R. No. L-13017, Dec. 23, 1959        "
89,FALSE,sequestered? Pano napabenta? Bakit hinihingan ng estate tax? Oooops! Kalma sample lang yan! Hindi pa yan ang kabuuang yaman ng marcoses na sequestered! Kaya ngayon ang tanong? Sino nagbenta? San nappapunta nag pinagbentahan? Paano napabenta? Bakit binenta? Karapat dapat bang ibenta?         
90,FALSE,"KAKAPASOK LANG Grabe ang Utos! Sen Imee Cong Marcoleta PCSO SUSPENDlDO na Mr. Robles Tanggal agad? (JUST IN, this order is serious! Sen. Imee, Cong. Marcoleta SUSPENDED PCSO. Mr. Robles removed?) SUSPENDIDO NA! SENADO TINAPOS ANG PCSO. ROBLES TANGGAL NA! (Suspended! Senate finished PCSO, Robles has been removed!)        "
91,FALSE,"The Bar Code For Life,         "
92,FALSE,"No one remembered that Noynoy Aquino did not participate in the 2010 debates. In the latter case, it was a correct tactical decision: Aquino was leading all rivals. No one remembered that when Marcos submitted to a Jessica Soho interview in 2016, the venue was filled with LP supporters who heckled his every answer. Source: Alex Magno, First Person Column entitled Pageant on the Philippine Star, Jan. 27, 2022 (archive)        "
93,FALSE,"In 2014, the NIH under [doctor Anthony] Fauci developed a dengue vaccine which had some signals in it that there were pathogenic priming. In other words in clinical trials, they saw some signs that you could get an antibody response but get much sicker when you were exposed, but they ignored them. They gave it to the Philippines, and they gave hundreds of thousands of children this vaccine. And when the dengue came around, those children became horribly ill and 600 of them died. Source: Daystar TV official Facebook page, Ministry Now – Robert F. Kennedy, Jr. and Del Bigtree, May 20, 2020, watch from 15:34 to 16:05         "
94,FALSE,"KAPAPASOK LANG Grabe to! Matinding utos ni PRES BBM FPRRD LEILA DE LIMA Na-shocked mga dilawan iyak (Just in. This is harsh! Intense order of President Bongbong Marcos. Former president Rodrigo Duterte, Leila de Lima were shocked. The yellows cried). KAPAPASOK LANG : FINISH NA! MATINDING UTOS NI PBBM FPRRD LEILA DE LIMA NATULALA MGA DILAWAN IYAK (Just in: It’s finished! Intense order of PBBM. FPRRD, Leila De Lima were astonished. The yellows cried).        "
95,FALSE,MARCOLETA IPAPALIT KAY CLARITA CARLOS! CLARITA SIKRETONG MAKIKIPAG KITA KAY JOMA! BUKING NI PBBM (MARCOLETA TO REPLACE CLARITA CARLOS! CLARITA TO SECRETLY MEET WITH JOMA! EXPOSED BY PBBM)!         
96,FALSE,Just IN Korte Pinag utos PALAYAIN na si KA Eric at Doc Loraine Badoy Atty Suplico VS Cong ACop Nagsa (Court ordered the release of Ka Eric and Doc Lorraine Badoy. Attorney Suplico vs Cong. Acop). LAYA NA SA WAKAS. ITO ANG NAPAKATINDING BALITA NGAYON (Free at last. This is the extraordinary news now) FREE.        
97,FALSE,"ALL PRESIDENT TO DUTERTE: ‘YOU ARE THE LIGHT IN OUR WORLD’ WE WILL FOLLOW THE FOOTSTEPS OF DUTERTE,         "
